Data_Requirement,FSDM_Subject_Area,FSDM_Entity,FSDM_Entity_Description,Entity_In_XSD,FSDM_Domain,Mapping_Confidence,Notes
Attribution Models - response,Party or Agreement,ANALYTICAL_MODEL,"Describes a process used to predict, cluster, or classify information. Typically, used in data mining and knowledge discovery.  Example: - Customer scoring and segmentation, and a model that describes",Yes,Other,Medium,Marketing attribution models
Attribution Models - response,Party or Agreement,MODEL_RUN,Describes an actual execution of an ANALYTICAL MODEL.,Yes,Other,Medium,Marketing attribution models
Attribution Models - response,Party or Agreement,CAMPAIGN_RESPONSE,,No,Not Found,Medium,Marketing attribution models
Lead Foodchain data,Party or Agreement,OPPORTUNITY,"An opportunity is the potential for a deal that could be revenue generating for the enterprise.  An opportunity may result in many proposals, which may result in many agreements.  An opportunity can i",Yes,Campaign/Marketing,High,Sales lead/opportunity pipeline
Lead Foodchain data,Party or Agreement,OPPORTUNITY_STATUS,The status of this opportunity as of a date such as: - Pending acceptance or rejection - Accepted internally - Rejected internally - Won - Lost - Timed out (too costly in sales stage),Yes,Campaign/Marketing,High,Sales lead/opportunity pipeline
Lead Foodchain data,Party or Agreement,OPPORTUNITY_PARTY_ROLE,,No,Not Found,High,Sales lead/opportunity pipeline
Predictive Models - risk,Party or Agreement,ANALYTICAL_MODEL,"Describes a process used to predict, cluster, or classify information. Typically, used in data mining and knowledge discovery.  Example: - Customer scoring and segmentation, and a model that describes",Yes,Other,High,"Risk scoring models (PD, LGD, EAD)"
Predictive Models - risk,Party or Agreement,MODEL_RUN,Describes an actual execution of an ANALYTICAL MODEL.,Yes,Other,High,"Risk scoring models (PD, LGD, EAD)"
Predictive Models - risk,Party or Agreement,MODEL_SCORE,,No,Not Found,High,"Risk scoring models (PD, LGD, EAD)"
Predictive Models - risk,Party or Agreement,PARTY_LIABILITY_CREDIT_RATING,This entity contains a history of credit reports for a specific party liability.,Yes,Party Management,High,"Risk scoring models (PD, LGD, EAD)"
"Risk Segments, Cohorts & Groupings",Party or Agreement,PARTY_CLASSIFICATION,,No,Not Found,High,Risk segmentation and grading
"Risk Segments, Cohorts & Groupings",Party or Agreement,RISK_GRADE_VALUE,This entity contains the values for the various risk grades or ratings. These values are expressed as a range or grading versus a continuous number. There is one instance for each scheme/value combina,Yes,Risk Management,High,Risk segmentation and grading
"Risk Segments, Cohorts & Groupings",Party or Agreement,RISK_GRADE_SCHEME,This entity contains the grading schemes when assigning a risk grade to a subject. One scheme exists for each method and purpose combination. Examples of risk grading scheme are: - Standard & Poor's –,Yes,Risk Management,High,Risk segmentation and grading
"Provisions, Losses & Writeoffs",Party or Agreement,AGREEMENT_RISK_METRIC,This entity contains various calculations and credit risk related metrics at the account/exposure level over time for the purposes of determining risk. Many of these attributes are required for Basel ,Yes,Agreement/Account,High,Credit loss provisions and write-offs (IFRS9/ECL)
"Provisions, Losses & Writeoffs",Party or Agreement,PROVISION,,No,Not Found,High,Credit loss provisions and write-offs (IFRS9/ECL)
"Provisions, Losses & Writeoffs",Party or Agreement,WRITE_OFF,,No,Not Found,High,Credit loss provisions and write-offs (IFRS9/ECL)
"Provisions, Losses & Writeoffs",Party or Agreement,LOSS_EVENT,,No,Not Found,High,Credit loss provisions and write-offs (IFRS9/ECL)
Financial Transactions,Event,MONETARY_TRANSACTION,,No,Not Found,High,Core financial transaction records
Financial Transactions,Event,TRANSACTION_TYPE,,No,Not Found,High,Core financial transaction records
Financial Transactions,Event,FINANCIAL_TRANSACTION,,No,Not Found,High,Core financial transaction records
Financial Transactions,Event,PAYMENT,,No,Not Found,High,Core financial transaction records
"Account Fees, Commissions & Charges",Event,MONETARY_TRANSACTION,,No,Not Found,High,Fee and commission income records
"Account Fees, Commissions & Charges",Event,FEE_TRANSACTION,,No,Not Found,High,Fee and commission income records
"Account Fees, Commissions & Charges",Event,COMMISSION_TRANSACTION,,No,Not Found,High,Fee and commission income records
"Account Fees, Commissions & Charges",Event,AGREEMENT_FEE,,No,Not Found,High,Fee and commission income records
Financial Interbank Payments,Event,PAYMENT,,No,Not Found,High,Interbank payment/settlement records
Financial Interbank Payments,Event,INTERBANK_PAYMENT,,No,Not Found,High,Interbank payment/settlement records
Financial Interbank Payments,Event,FINANCIAL_TRANSACTION,,No,Not Found,High,Interbank payment/settlement records
Non-Financial Transactions,Event,EVENT,"A history of internal or external situations that are of business significance to the enterprise. Examples of events may be a contact with a party, the issuance of a statement, or even a geographic oc",Yes,Event Management,Medium,Non-monetary events and interactions
Non-Financial Transactions,Event,NON_MONETARY_EVENT,,No,Not Found,Medium,Non-monetary events and interactions
Non-Financial Transactions,Event,DIRECT_CONTACT_EVENT,This entity is a subtype to CONTACT EVENT and contains those contacts that directly involve contact with the customer either in person or in writing. The customer is able to express him/herself during,Yes,Party Management,Medium,Non-monetary events and interactions
Service Usage,Event,CHANNEL_USAGE_METRIC,,No,Not Found,Medium,Service/channel usage tracking
Service Usage,Event,SERVICE_USAGE_EVENT,,No,Not Found,Medium,Service/channel usage tracking
Service Usage,Event,CHANNEL_INSTANCE,This entity brings together all the specific touch points in the enterprise. It identifies all the specific channels that customers and other parties use to interact with the enterprise. One instance ,Yes,Channel Management,Medium,Service/channel usage tracking
Complaint Data,Event,COMPLAINT,,No,Not Found,High,Customer complaint management
Complaint Data,Event,COMPLAINT_STATUS,,No,Not Found,High,Customer complaint management
Complaint Data,Event,COMPLAINT_RESOLUTION,,No,Not Found,High,Customer complaint management
Offline Customer Interactions - Branch,Event,DIRECT_CONTACT_EVENT,This entity is a subtype to CONTACT EVENT and contains those contacts that directly involve contact with the customer either in person or in writing. The customer is able to express him/herself during,Yes,Party Management,High,In-branch customer interactions
Offline Customer Interactions - Branch,Event,BRANCH_VISIT_EVENT,,No,Not Found,High,In-branch customer interactions
Offline Customer Interactions - Branch,Event,CHANNEL_INSTANCE,This entity brings together all the specific touch points in the enterprise. It identifies all the specific channels that customers and other parties use to interact with the enterprise. One instance ,Yes,Channel Management,High,In-branch customer interactions
Offline Customer Interactions - Call Centre,Event,DIRECT_CONTACT_EVENT,This entity is a subtype to CONTACT EVENT and contains those contacts that directly involve contact with the customer either in person or in writing. The customer is able to express him/herself during,Yes,Party Management,High,Call center interactions
Offline Customer Interactions - Call Centre,Event,CALL_EVENT,,No,Not Found,High,Call center interactions
Offline Customer Interactions - Call Centre,Event,CHANNEL_INSTANCE,This entity brings together all the specific touch points in the enterprise. It identifies all the specific channels that customers and other parties use to interact with the enterprise. One instance ,Yes,Channel Management,High,Call center interactions
Offline Customer Interactions - letters,Event,DIRECT_CONTACT_EVENT,This entity is a subtype to CONTACT EVENT and contains those contacts that directly involve contact with the customer either in person or in writing. The customer is able to express him/herself during,Yes,Party Management,Medium,Letter/mail correspondence
Offline Customer Interactions - letters,Event,CORRESPONDENCE_EVENT,,No,Not Found,Medium,Letter/mail correspondence
Offline Customer Interactions - letters,Event,DOCUMENT,This entity contains physical or electronic documentation of interest to the financial institution or produced by the financial institution that is of interest. It represents information being exchang,Yes,Other,Medium,Letter/mail correspondence
Offline Customer Interactions - sms text,Event,DIRECT_CONTACT_EVENT,This entity is a subtype to CONTACT EVENT and contains those contacts that directly involve contact with the customer either in person or in writing. The customer is able to express him/herself during,Yes,Party Management,Medium,SMS text message interactions
Offline Customer Interactions - sms text,Event,SMS_EVENT,,No,Not Found,Medium,SMS text message interactions
Offline Customer Interactions - sms text,Event,ELECTRONIC_ADDRESS,"A nonphysical/virtual ADDRESS. Could be an email, FTP, or URL.  Examples: - clark@kryptonite.com - FTP.att.net/bob",Yes,Location/Geography,Medium,SMS text message interactions
Online Interactions -  webchat (internal & external),Event,WEB_VISIT,This entity represents a visit during which an internet web site is accessed by an individual using the world wide web.  Example: - An unknown visitor browsed our web site today from 12:32 through 13:,Yes,Web Analytics,High,Web chat interaction records
Online Interactions -  webchat (internal & external),Event,WEB_PAGE_VIEW,This entity stores the information about the actual WEB PAGEs displayed to an individual during a given WEB VISIT.  Example: - Home page - > product page - > casual wear - > sweaters -> blue sweater. ,Yes,Web Analytics,High,Web chat interaction records
Online Interactions -  webchat (internal & external),Event,ONLINE_INTERACTION_EVENT,,No,Not Found,High,Web chat interaction records
Online Interactions colleague intranet,Event,WEB_VISIT,This entity represents a visit during which an internet web site is accessed by an individual using the world wide web.  Example: - An unknown visitor browsed our web site today from 12:32 through 13:,Yes,Web Analytics,Medium,Internal intranet usage
Online Interactions colleague intranet,Event,WEB_PAGE_VIEW,This entity stores the information about the actual WEB PAGEs displayed to an individual during a given WEB VISIT.  Example: - Home page - > product page - > casual wear - > sweaters -> blue sweater. ,Yes,Web Analytics,Medium,Internal intranet usage
Online Interactions customer digital banking site (web log),Event,WEB_VISIT,This entity represents a visit during which an internet web site is accessed by an individual using the world wide web.  Example: - An unknown visitor browsed our web site today from 12:32 through 13:,Yes,Web Analytics,High,Digital banking web analytics
Online Interactions customer digital banking site (web log),Event,WEB_PAGE_VIEW,This entity stores the information about the actual WEB PAGEs displayed to an individual during a given WEB VISIT.  Example: - Home page - > product page - > casual wear - > sweaters -> blue sweater. ,Yes,Web Analytics,High,Digital banking web analytics
Online Interactions customer digital banking site (web log),Event,EXTENDED_SESSION_INFORMATION,This entity captures session-based information relating to the visitor's activities or site usage during their session.,Yes,Web Analytics,High,Digital banking web analytics
Online Interactions customer digital banking site (web log),Event,ONLINE_APPLICATION_ACCESS,This entity captures information regarding online applications programs that have been launched by users.,Yes,Channel Management,High,Digital banking web analytics
Online Interactions customer general banking site,Event,WEB_VISIT,This entity represents a visit during which an internet web site is accessed by an individual using the world wide web.  Example: - An unknown visitor browsed our web site today from 12:32 through 13:,Yes,Web Analytics,High,Public website analytics
Online Interactions customer general banking site,Event,WEB_PAGE_VIEW,This entity stores the information about the actual WEB PAGEs displayed to an individual during a given WEB VISIT.  Example: - Home page - > product page - > casual wear - > sweaters -> blue sweater. ,Yes,Web Analytics,High,Public website analytics
Online Interactions customer general banking site,Event,ONLINE_INTERACTION_EVENT,,No,Not Found,High,Public website analytics
Online Interactions email - customer & employee,Event,DIRECT_CONTACT_EVENT,This entity is a subtype to CONTACT EVENT and contains those contacts that directly involve contact with the customer either in person or in writing. The customer is able to express him/herself during,Yes,Party Management,Medium,Email interaction tracking
Online Interactions email - customer & employee,Event,EMAIL_EVENT,,No,Not Found,Medium,Email interaction tracking
Online Interactions email - customer & employee,Event,ELECTRONIC_ADDRESS,"A nonphysical/virtual ADDRESS. Could be an email, FTP, or URL.  Examples: - clark@kryptonite.com - FTP.att.net/bob",Yes,Location/Geography,Medium,Email interaction tracking
Online Interactions mobile app,Event,WEB_VISIT,This entity represents a visit during which an internet web site is accessed by an individual using the world wide web.  Example: - An unknown visitor browsed our web site today from 12:32 through 13:,Yes,Web Analytics,High,Mobile app usage analytics
Online Interactions mobile app,Event,WEB_PAGE_VIEW,This entity stores the information about the actual WEB PAGEs displayed to an individual during a given WEB VISIT.  Example: - Home page - > product page - > casual wear - > sweaters -> blue sweater. ,Yes,Web Analytics,High,Mobile app usage analytics
Online Interactions mobile app,Event,MOBILE_APP_EVENT,,No,Not Found,High,Mobile app usage analytics
Online Interactions mobile app,Event,CHANNEL_INSTANCE,This entity brings together all the specific touch points in the enterprise. It identifies all the specific channels that customers and other parties use to interact with the enterprise. One instance ,Yes,Channel Management,High,Mobile app usage analytics
Online Interactions off-site - ad server,Event,AD,"A marketing message aimed at a segment of consumers. Usually, mentions specific items or product. Can be placed in magazines, on web pages, and television.  A relationship to either campaign or a prom",Yes,Other,High,Ad server/display advertising data
Online Interactions off-site - ad server,Event,AD_PLACEMENT,This is the placement request and delivery as specified by the ad order.  Examples: Traditional: - Totally solar ad on page 17 of March 2008 Wired magazine - Garden gnome ad on page 78 of House and Ga,Yes,Campaign/Marketing,High,Ad server/display advertising data
Online Interactions off-site - ad server,Event,AD_IMPRESSION,,No,Not Found,High,Ad server/display advertising data
Online Interactions off-site - ad server,Event,AD_CAMPAIGN_OBJECTIVE,This entity captures information regarding ad campaigns objectives.  Note: The information in this entity is usually sourced from third-party ad management systems.,Yes,Campaign/Marketing,High,Ad server/display advertising data
Online Interactions prospect / unidentified customer (web log),Event,WEB_VISIT,This entity represents a visit during which an internet web site is accessed by an individual using the world wide web.  Example: - An unknown visitor browsed our web site today from 12:32 through 13:,Yes,Web Analytics,High,Anonymous/prospect web analytics
Online Interactions prospect / unidentified customer (web log),Event,WEB_PAGE_VIEW,This entity stores the information about the actual WEB PAGEs displayed to an individual during a given WEB VISIT.  Example: - Home page - > product page - > casual wear - > sweaters -> blue sweater. ,Yes,Web Analytics,High,Anonymous/prospect web analytics
Online Interactions prospect / unidentified customer (web log),Event,VISITOR_INTERACTION_EVENT,This entity captures information regarding an event being experienced by the visitor. Interaction events can be either session based or web page view based.  Session based events are: - Web campaign -,Yes,Event Management,High,Anonymous/prospect web analytics
"Case History (Fraud, Money Laundering, Complaint)",Event,CASE,,No,Not Found,High,Case management for fraud/AML/complaints
"Case History (Fraud, Money Laundering, Complaint)",Event,CASE_EVENT,"This entity contains the various events related to the case. This can include the event that triggered the case to be created (e.g., the credit card transaction that is suspect). It can also include t",Yes,Event Management,High,Case management for fraud/AML/complaints
"Case History (Fraud, Money Laundering, Complaint)",Event,CASE_PARTY_ROLE,,No,Not Found,High,Case management for fraud/AML/complaints
"Case History (Fraud, Money Laundering, Complaint)",Event,FRAUD_CASE,,No,Not Found,High,Case management for fraud/AML/complaints
Claims,Event,CLAIM,"A claim is the request to the insurance company to honor the terms and conditions of one or more coverages included in one or more policies.  A claim is usually accompanied by one or more documents, s",Yes,Claims Management,High,Insurance claims management
Claims,Event,CLAIM_STATUS,This entity tracks the history of the status of a claim.,Yes,Claims Management,High,Insurance claims management
Claims,Event,CLAIM_PARTY_ROLE,,No,Not Found,High,Insurance claims management
Claims,Event,CLAIM_PAYMENT,,No,Not Found,High,Insurance claims management
Defaults & Limit Breaches,Event,AGREEMENT_STATUS,"This entity contains the history of the status of the agreement such as active, inactive, or pending closure. This structure provides for the agreement to be in more than one status classification sch",Yes,Agreement/Account,Medium,Default and limit breach events
Defaults & Limit Breaches,Event,DEFAULT_EVENT,,No,Not Found,Medium,Default and limit breach events
Defaults & Limit Breaches,Event,LIMIT_BREACH_EVENT,,No,Not Found,Medium,Default and limit breach events
Defaults & Limit Breaches,Event,AGREEMENT_RISK_METRIC,This entity contains various calculations and credit risk related metrics at the account/exposure level over time for the purposes of determining risk. Many of these attributes are required for Basel ,Yes,Agreement/Account,Medium,Default and limit breach events
Closed Loop Outcomes / Channel Responses,Event,CAMPAIGN_RESPONSE,,No,Not Found,High,Campaign closed-loop response tracking
Closed Loop Outcomes / Channel Responses,Event,CAMPAIGN_OFFER_RESPONSE,,No,Not Found,High,Campaign closed-loop response tracking
Closed Loop Outcomes / Channel Responses,Event,DIRECT_CONTACT_EVENT,This entity is a subtype to CONTACT EVENT and contains those contacts that directly involve contact with the customer either in person or in writing. The customer is able to express him/herself during,Yes,Party Management,High,Campaign closed-loop response tracking
External Data - Corporate Actions,Event,CORPORATE_ACTION,,No,Not Found,High,"Corporate action events (dividends, splits)"
External Data - Corporate Actions,Event,INVESTMENT_PRODUCT,"An INVESTMENT PRODUCT is a financial instrument including securities that are usually but not always listed on an exchange or other tradable network, and which can be traded for investment purposes. O",Yes,Product Management,High,"Corporate action events (dividends, splits)"
Internal Process Activity Data,Event,EVENT,"A history of internal or external situations that are of business significance to the enterprise. Examples of events may be a contact with a party, the issuance of a statement, or even a geographic oc",Yes,Event Management,Low,Business process tracking - limited FSDM coverage
Internal Process Activity Data,Event,PROCESS_EVENT,,No,Not Found,Low,Business process tracking - limited FSDM coverage
Internal Process Activity Data,Event,OPERATIONAL_EVENT,,No,Not Found,Low,Business process tracking - limited FSDM coverage
Master & Reference Data - merchant / transaction,Event,MERCHANT,,No,Not Found,High,Merchant and transaction type reference data
Master & Reference Data - merchant / transaction,Event,MERCHANT_CATEGORY,,No,Not Found,High,Merchant and transaction type reference data
Master & Reference Data - merchant / transaction,Event,TRANSACTION_TYPE,,No,Not Found,High,Merchant and transaction type reference data
Customer interview / fact find,Event or Cross Subject - Document,DOCUMENT,This entity contains physical or electronic documentation of interest to the financial institution or produced by the financial institution that is of interest. It represents information being exchang,Yes,Other,Medium,Customer fact-find/interview documents
Customer interview / fact find,Event or Cross Subject - Document,SURVEY,,No,Not Found,Medium,Customer fact-find/interview documents
Customer interview / fact find,Event or Cross Subject - Document,SURVEY_QUESTION_RESPONSE,"This entity associates a questionnaire question to a response to that question.  By capturing the date and time of the response (if known), the sequence of the survey responses may be reconstructed, a",Yes,Campaign/Marketing,Medium,Customer fact-find/interview documents
Customer interview / fact find,Event or Cross Subject - Document,PARTY_DOCUMENT,"This entity associates a party with the document. The party may be the originator or recipient of the document. The party may be the auditor, notary, agent, customer, and other financial institution.",Yes,Party Management,Medium,Customer fact-find/interview documents
Physical Assets,Party Asset,PARTY_ASSET,"This entity identifies known items of interest to parties. These items include tangible and intangible (e.g., financial) items. There is one instance for each specific identifiable item.  Assets can i",Yes,Party Management,High,Physical/fixed asset records
Physical Assets,Party Asset,FIXED_ASSET,"This entity identifies all the known FIXED ASSETs of the organization. FIXED ASSETs are tangible property used in the operation of the business. Examples of FIXED ASSETs are land, plant, machinery and",Yes,Asset Management,High,Physical/fixed asset records
Physical Assets,Party Asset,REAL_PROPERTY,,No,Not Found,High,Physical/fixed asset records
Physical Asset Valuations,Party Asset,PARTY_ASSET_VALUATION,,No,Not Found,High,Asset valuation records
Physical Asset Valuations,Party Asset,COLLATERAL_VALUATION,,No,Not Found,High,Asset valuation records
Physical Asset Valuations,Party Asset,REAL_PROPERTY_VALUATION,,No,Not Found,High,Asset valuation records
Master & Reference Data - organisation hierarchy,Internal Organisation,ORGANIZATION,This is a subtype entity to PARTY. An organization is any group of individuals (or one individual) or other organizations formed for a specific purpose. An organization can be either an internal organ,Yes,Party Management,High,Internal organization/branch hierarchy
Master & Reference Data - organisation hierarchy,Internal Organisation,INTERNAL_ORGANIZATION_UNIT,,No,Not Found,High,Internal organization/branch hierarchy
Master & Reference Data - organisation hierarchy,Internal Organisation,ORGANIZATION_UNIT_RELATIONSHIP,,No,Not Found,High,Internal organization/branch hierarchy
Master & Reference Data - organisation hierarchy,Internal Organisation,ORGANIZATION_BUSINESS_TYPE,"This entity classifies organizations into types. For businesses, examples can be hospital, inpatient hospital, outpatient clinic, gas station, retail store, and travel agency. For internal organizatio",Yes,Party Management,High,Internal organization/branch hierarchy
"Operational metrics (E.g. Wait times, queue length)",Internal Organisation,CHANNEL_USAGE_METRIC,,No,Not Found,Low,Operational metrics - needs extension
"Operational metrics (E.g. Wait times, queue length)",Internal Organisation,OPERATIONAL_EVENT,,No,Not Found,Low,Operational metrics - needs extension
"Operational metrics (E.g. Wait times, queue length)",Internal Organisation,SERVICE_LEVEL_METRIC,,No,Not Found,Low,Operational metrics - needs extension
Offer Catalogue,Campaign,OFFER,"A specific incentive made available to customers. Usually, contains two parts: a.) condition to be met and b.) the reward for a.). Apply online for equity loan and line of credit and pay no points or ",Yes,Campaign/Marketing,High,Marketing offer catalog
Offer Catalogue,Campaign,OFFER_TYPE,"A classification for the type of offer such as discount offer, free product offer, interest rate offer, and fee waiver offer.",Yes,Campaign/Marketing,High,Marketing offer catalog
Offer Catalogue,Campaign,CAMPAIGN_OFFER,,No,Not Found,High,Marketing offer catalog
Offer Catalogue,Campaign,PRODUCT,"This independent entity contains information about any marketable product, package, or service that you or your competitor offers that you are interested in tracking. This entity contains marketable p",Yes,Product Management,High,Marketing offer catalog
Master & Reference Data - Campaign,Campaign,CAMPAIGN,"A campaign is a concentrated effort to retain, acquire, or consolidate customers or to build an image. It has a specific start and end date and typically consist of multiple promotions. The goal of a ",Yes,Campaign/Marketing,High,Campaign master data
Master & Reference Data - Campaign,Campaign,CAMPAIGN_TYPE,The types of campaigns that can be conducted by the organization.  Examples: - Mass media - Direct marketing blind - Direct marketing semiblind - Direct marketing known  An example of a blind campaign,Yes,Campaign/Marketing,High,Campaign master data
Master & Reference Data - Campaign,Campaign,CAMPAIGN_STATUS,This entity tracks the status of a campaign over time.,Yes,Campaign/Marketing,High,Campaign master data
Master & Reference Data - Campaign,Campaign,CAMPAIGN_WAVE,,No,Not Found,High,Campaign master data
Campaign Production Costs,Campaign,CAMPAIGN,"A campaign is a concentrated effort to retain, acquire, or consolidate customers or to build an image. It has a specific start and end date and typically consist of multiple promotions. The goal of a ",Yes,Campaign/Marketing,Medium,Campaign cost tracking
Campaign Production Costs,Campaign,CAMPAIGN_COST,"A summary of costs for a specific time period, by the type of cost.  Cost associated with a specific marketing campaign.",Yes,Campaign/Marketing,Medium,Campaign cost tracking
Campaign Production Costs,Campaign,CAMPAIGN_BUDGET,,No,Not Found,Medium,Campaign cost tracking
Campaign History Data,Campaign,CAMPAIGN,"A campaign is a concentrated effort to retain, acquire, or consolidate customers or to build an image. It has a specific start and end date and typically consist of multiple promotions. The goal of a ",Yes,Campaign/Marketing,High,Historical campaign execution and responses
Campaign History Data,Campaign,CAMPAIGN_RESPONSE,,No,Not Found,High,Historical campaign execution and responses
Campaign History Data,Campaign,CAMPAIGN_OFFER_RESPONSE,,No,Not Found,High,Historical campaign execution and responses
Campaign History Data,Campaign,CAMPAIGN_WAVE,,No,Not Found,High,Historical campaign execution and responses
Media Asset Details,Campaign,MEDIA_ASSET,,No,Not Found,Medium,Media/content assets
Media Asset Details,Campaign,DOCUMENT,This entity contains physical or electronic documentation of interest to the financial institution or produced by the financial institution that is of interest. It represents information being exchang,Yes,Other,Medium,Media/content assets
Media Asset Details,Campaign,DIGITAL_CONTENT,,No,Not Found,Medium,Media/content assets
Campaign Promotional Calendar,Campaign,CAMPAIGN,"A campaign is a concentrated effort to retain, acquire, or consolidate customers or to build an image. It has a specific start and end date and typically consist of multiple promotions. The goal of a ",Yes,Campaign/Marketing,Medium,Campaign scheduling/calendar
Campaign Promotional Calendar,Campaign,CAMPAIGN_WAVE,,No,Not Found,Medium,Campaign scheduling/calendar
Campaign Promotional Calendar,Campaign,CAMPAIGN_SCHEDULE,,No,Not Found,Medium,Campaign scheduling/calendar
Master & Reference Data - Channel,Channel,CHANNEL_TYPE,"This entity defines the major classifications of channels; consider, for example, call center, web site, and brick and mortar.  For financial services, examples include direct physical mail, kiosk, el",Yes,Channel Management,High,Channel master data
Master & Reference Data - Channel,Channel,CHANNEL_INSTANCE,This entity brings together all the specific touch points in the enterprise. It identifies all the specific channels that customers and other parties use to interact with the enterprise. One instance ,Yes,Channel Management,High,Channel master data
Master & Reference Data - Channel,Channel,CHANNEL_CLASSIFICATION,,No,Not Found,High,Channel master data
Finance Systems - ERP,Finance,GL_ACCOUNT,,No,Not Found,Medium,ERP integration - AP/AR/inventory entities
Finance Systems - ERP,Finance,GL_MAIN_ACCOUNT,The entity that indicates accounts used in financial transactions for a company. This includes both the general ledger and subsidiary ledger transactions.,Yes,Agreement/Account,Medium,ERP integration - AP/AR/inventory entities
Finance Systems - ERP,Finance,VENDOR,Vendor/Supplier information. Shared between purchasing and payables.  Vendor is considered a role that one party has with another party. The attributes about that vendor may vary by the related party.,Yes,Other,Medium,ERP integration - AP/AR/inventory entities
Finance Systems - ERP,Finance,VENDOR_INVOICE,,No,Not Found,Medium,ERP integration - AP/AR/inventory entities
"Finance Systems - Budgets, Plans & Forecasts",Finance,GL_ACCOUNT,,No,Not Found,Low,"Financial planning - limited FSDM coverage, needs extension"
"Finance Systems - Budgets, Plans & Forecasts",Finance,BUDGET,,No,Not Found,Low,"Financial planning - limited FSDM coverage, needs extension"
"Finance Systems - Budgets, Plans & Forecasts",Finance,FORECAST,,No,Not Found,Low,"Financial planning - limited FSDM coverage, needs extension"
"Finance Systems - Budgets, Plans & Forecasts",Finance,FINANCIAL_PLAN,The entity that provides details of a company's projected revenue and expenses for a future period of time. Sometimes referred to as budget or forecast.,Yes,Other,Low,"Financial planning - limited FSDM coverage, needs extension"
"Model Metadata (E.g. defintion, assumptions, metrics)",Analytical Model,ANALYTICAL_MODEL,"Describes a process used to predict, cluster, or classify information. Typically, used in data mining and knowledge discovery.  Example: - Customer scoring and segmentation, and a model that describes",Yes,Other,High,Analytical model metadata and governance
"Model Metadata (E.g. defintion, assumptions, metrics)",Analytical Model,MODEL_RUN,Describes an actual execution of an ANALYTICAL MODEL.,Yes,Other,High,Analytical model metadata and governance
"Model Metadata (E.g. defintion, assumptions, metrics)",Analytical Model,MODEL_PARAMETER,,No,Not Found,High,Analytical model metadata and governance
Risk Scenario & Stress Testing Results,Analytical Model,RISK_CALCULATION_SCENARIO,This entity contains information about the execution of the calculation of risk metrics. There is one instance for each calculation for a given currency regardless of whether it is a final or a trial ,Yes,Risk Management,High,Stress testing and scenario analysis results
Risk Scenario & Stress Testing Results,Analytical Model,RISK_SCENARIO_RESULT,,No,Not Found,High,Stress testing and scenario analysis results
Risk Scenario & Stress Testing Results,Analytical Model,STRESS_TEST_RESULT,This entity contains the result of a stress test such as the loss amount for a given risk factor or the high and low extreme amounts for this time period.,Yes,Risk Management,High,Stress testing and scenario analysis results
"Documents - Structured Data Capture (Survey, Application Forms)",Cross Subject - Document,DOCUMENT,This entity contains physical or electronic documentation of interest to the financial institution or produced by the financial institution that is of interest. It represents information being exchang,Yes,Other,High,Structured document capture
"Documents - Structured Data Capture (Survey, Application Forms)",Cross Subject - Document,DOCUMENT_TYPE,"This minor entity identifies the type of documents that the financial institution is interested in.  Examples are tax return, deed, death certificate, birth certificate, billing invoice, bank statemen",Yes,Other,High,Structured document capture
"Documents - Structured Data Capture (Survey, Application Forms)",Cross Subject - Document,SURVEY,,No,Not Found,High,Structured document capture
"Documents - Structured Data Capture (Survey, Application Forms)",Cross Subject - Document,APPLICATION,"This entity identifies all applications for a financial institution product, for which a PARTY needs to qualify. Currently this applies to insurance accounts and loan type accounts including credit ca",Yes,Other,High,Structured document capture
Text Data,Cross Subject - Document,DOCUMENT,This entity contains physical or electronic documentation of interest to the financial institution or produced by the financial institution that is of interest. It represents information being exchang,Yes,Other,Medium,Unstructured text data
Text Data,Cross Subject - Document,TEXT_CONTENT,,No,Not Found,Medium,Unstructured text data
Text Data,Cross Subject - Document,DIGITAL_CONTENT,,No,Not Found,Medium,Unstructured text data
External Data - News / Industry Feeds E.g. Reuters,Cross Subject - Document,DOCUMENT,This entity contains physical or electronic documentation of interest to the financial institution or produced by the financial institution that is of interest. It represents information being exchang,Yes,Other,Low,External news/data feeds - needs extension
External Data - News / Industry Feeds E.g. Reuters,Cross Subject - Document,NEWS_FEED,,No,Not Found,Low,External news/data feeds - needs extension
External Data - News / Industry Feeds E.g. Reuters,Cross Subject - Document,MARKET_INDEX,"This entity tracks the value of a collection of stocks or other securities over time such as the U.S. Dow Jones 30 Industrial, the FTSE 500, and Tokyo Nikkei 300.  The index is usually published by a ",Yes,Investment Management,Low,External news/data feeds - needs extension
Master & Reference Data - Risk Policy Rules,Cross Subject - Document,RISK_GRADE_SCHEME,This entity contains the grading schemes when assigning a risk grade to a subject. One scheme exists for each method and purpose combination. Examples of risk grading scheme are: - Standard & Poor's –,Yes,Risk Management,Medium,Risk policy and rules framework
Master & Reference Data - Risk Policy Rules,Cross Subject - Document,RISK_GRADE_VALUE,This entity contains the values for the various risk grades or ratings. These values are expressed as a range or grading versus a continuous number. There is one instance for each scheme/value combina,Yes,Risk Management,Medium,Risk policy and rules framework
Master & Reference Data - Risk Policy Rules,Cross Subject - Document,RISK_POLICY,,No,Not Found,Medium,Risk policy and rules framework
Master & Reference Data - Risk Policy Rules,Cross Subject - Document,BUSINESS_RULE,,No,Not Found,Medium,Risk policy and rules framework
Customer Research - Primary & Secondary,Cross Subject - Survey,SURVEY,,No,Not Found,Medium,Customer research via survey entities
